"Componente;Fonte;Codigo;Descricao;Finalidade_Projeto;Gatilho_Lógico"
"Médico;CID-10;M84.3;Fratura de fadiga (""stress"") não classificada em outra parte;Diagnóstico de lesão por sobrecarga;S-RED Ativo [1, 2]"
"Médico;CID-10;M00-M99;Doenças do sistema osteomuscular e do tecido conjuntivo;Diagnóstico ortopédico base;Obrigatório [3, 4]"
"Médico;CID-10;S00-T98;Lesões envenenamento e causas externas;Registro de traumatismos agudos;Obrigatório [3, 4]"
"Médico;CID-O;M9180/3;Osteossarcoma SOE;Neoplasia maligna óssea;Oncologia [5]"
"Médico;CID-O;M9250/3;Tumor de células gigantes do osso;Neoplasia óssea de comportamento incerto;Oncologia [5]"
"Médico;SAC;OSSEA;Lesão Óssea;Natureza da lesão primária;Habilita Origem Lesão [2, 6]"
"Médico;SAC;ARTICULAR;Lesão Articular;Natureza da lesão primária;Nenhum [6]"
"Nutricionista;CID-10;D50-D53;Anemias nutricionais;Monitoramento de deficiências nutricionais;S-RED Alerta [7, 8]"
"Nutricionista;CID-10;D53.0;Anemia por deficiência de proteínas;Indicador crítico de baixa ingestão calórico-proteica;Prioridade S-RED [9, 10]"
"Nutricionista;CID-10;E40-E46;Desnutrição;Identificação de déficit energético grave;Acompanhamento [8, 11]"
"Nutricionista;CID-10;E66;Obesidade;Identificação de sobrepeso como fator de risco;Risco Biomecânico [12, 13]"
"Nutricionista;CID-10;R63;Sintomas e sinais relativos à ingestão de alimentos e líquidos;Monitoramento de fadiga e anorexia;S-RED [14, 15]"
"Psicopedagogo;CID-10;R41.8;Outros sintomas e sinais relativos às funções cognitivas;Registro de pensamento lentificado (Bradipfrenia);S-RED Cognitivo [16, 17]"
"Psicopedagogo;CID-10;F43;Reações ao stress grave e transtornos de adaptação;Monitoramento de saúde mental em lesões graves;Saúde Mental [13, 18]"
"Psicopedagogo;CID-10;R45.2;Tristeza;Monitoramento de traços depressivos leves;S-RED Psicológico [16, 17]"
"Psicopedagogo;CID-10;F51;Transtornos não-orgânicos do sono;Monitoramento de fadiga crônica;Acompanhamento [17, 18]"
"Educador Físico;SAC;Lateralidade;Direita / Esquerda / Bilateral;Guia para fortalecimento e alongamento individualizado;Mandatório [6, 19]"
"Educador Físico;CID-10;M60-M63;Transtornos musculares;Tratamento de miosites e distensões;Reabilitação Funcional [20]"
"Educador Físico;CID-10;M65-M68;Transtornos das sinóvias e dos tendões;Tratamento de tendinites (MMII/MMSS);Reabilitação Funcional [20]"
"Fisioterapeuta;CID-10;R26;Anormalidades da marcha e da mobilidade;Identificação de assimetrias biomecânicas;Prevenção [21, 22]"
"Fisioterapeuta;CID-10;M22.2;Transtornos femuropatelares;Correção de instabilidades de joelho;Risco Específico [23]"
"Fisioterapeuta;CID-10;M25.3;Outras instabilidades articulares;Tratamento de instabilidade anterior de ombros;Risco Específico [24]"
"Fisioterapeuta;SAC;Perna Esquerda;Hipotrofia/Encurtamento;Identificação de assimetria específica;Correção [6, 25]"
