Lesão,Parte Corpo Óssea,Parte Corpo Articular,Parte Corpo Muscular,Parte Corpo Tendinosa,Parte Corpo Neurológica,Membros Superiores,Coluna,Bacia,Membros Inferiores,Lateralidade
Óssea,Membros Superiores,Membros Superiores,Membros Superiores,Membros Superiores,Membros Superiores,Esternoclavicular Direita,Cervical,Ilíaco,Quadril Direito,Direita
Articular,Coluna,Coluna,Coluna,Bacia,Membros Inferiores,Esternoclavicular Esquerda,Torácica,Ísquio,Quadril Esquerdo,Esquerda
Muscular,Bacia,Bacia,Tórax,Membros Inferiores,,Clavícula Direita,Lombar,Púbico,Coxa Direita,
Tendinosa,Membros Inferiores,Membros Inferiores,Core,,,Clavícula Esquerda,Sacro,,Coxa Esquerda,
Neurológica,,,Membros Inferiores,,,Ombro Direito,Cóccix,,Perna Direita,
,,,,,,Ombro Esquerdo,,,Perna Esquerda,
,,,,,,Braço Direito,,,Tornozelo Direito,
,,,,,,Braço Esquerdo,,,Tornozelo Esquerdo,
,,,,,,Cotovelo Direito,,,Pé Direito,
,,,,,,Cotovelo Esquerdo,,,Pé Esquerdo,
,,,,,,Antebraço Direito,,,,
,,,,,,Antebraço Esquerdo,,,,
,,,,,,Punho Direito,,,,
,,,,,,Punho Esquerdo,,,,
,,,,,,Mão Direita,,,,
,,,,,,Mão Esquerda,,,,
