Ortopedia;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
Lesão;Parte Corpo Óssea e Articular;Parte Corpo Muscular;Parte Corpo Tendinosa;Parte Corpo Neurológica;Membros Superiores;Coluna;Bacia;Membros Inferiores;Lateralidade
Óssea;Membros Superiores;Membros Superiores;Membros Superiores;Membros Superiores;Esternoclavicular Direita;Cervical;Ilíaco;Quadril Direito;Direita
Articular;Coluna;Coluna;Bacia;Membros Inferiores;Esternoclavicular Esquerda;Torácica;Ísquio;Quadril Esquerdo;Esquerda
Muscular;Bacia;Tórax;Membros Inferiores; ;Clavícula Direita;Lombar;Púbico;Coxa Direita;Bilateral
Tendinosa;Membros Inferiores;Core; ;;Clavícula Esquerda;Sacro;;Coxa Esquerda;Não é o caso
Neurológica;;Membros Inferiores;;;Ombro Direto;Cóccix;;Perna Direita;
;;;;;Ombro Esquerdo;;;Perna Esquerda;
;;;;;Braço Direito;;;Tornozelo Direito;
;;;;;Braço Esquerdo;;;Tornozelo Esquerdo;
;;;;;Cotovelo Direito;;;Pé Direito;
;;;;;Cotovelo Esquerdo;;;Pé Esquerdo;
;;;;;Antebraço Direito;;;;
; ; ; ; ;Antebraço Esquerdo;;;;
;;;;;Punho Direito;;;;
;;;;;Punho Esquerdo;;;;
;;;;;Mão Direita;;;;
;;;;;Mão Esquerda;;;;
